Iteración,Tamaño Vector,Procesadores,Resultado
27,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.153635 numprocesos: 8 tpar: 0.081502 seepUp: 1.885046 eficiencia: 23.563072%
28,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144325 numprocesos: 8 tpar: 0.079955 seepUp: 1.805078 eficiencia: 22.563473%
29,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.152563 numprocesos: 8 tpar: 0.079986 seepUp: 1.907371 eficiencia: 23.842141%
30,10000,8,tamaño: numbuscado 10 numVeces  11700000 porcentajeDeNumVeces (1.17%) tsec 0.144930 numprocesos: 8 tpar: 0.079655 seepUp: 1.819471 eficiencia: 22.743393%
1,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.284921 numprocesos: 2 tpar: 0.603843 seepUp: 0.471846 eficiencia: 23.592308%
2,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.273868 numprocesos: 2 tpar: 0.611193 seepUp: 0.448088 eficiencia: 22.404380%
3,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.274708 numprocesos: 2 tpar: 0.605457 seepUp: 0.453720 eficiencia: 22.686004%
4,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.281890 numprocesos: 2 tpar: 0.615040 seepUp: 0.458328 eficiencia: 22.916396%
5,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.258860 numprocesos: 2 tpar: 0.594444 seepUp: 0.435466 eficiencia: 21.773287%
6,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.273876 numprocesos: 2 tpar: 0.595636 seepUp: 0.459804 eficiencia: 22.990216%
7,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.283675 numprocesos: 2 tpar: 0.606110 seepUp: 0.468026 eficiencia: 23.401280%
8,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.284485 numprocesos: 2 tpar: 0.609394 seepUp: 0.466833 eficiencia: 23.341631%
9,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.283508 numprocesos: 2 tpar: 0.643652 seepUp: 0.440468 eficiencia: 22.023392%
10,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.287922 numprocesos: 2 tpar: 0.623404 seepUp: 0.461855 eficiencia: 23.092730%
11,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.289305 numprocesos: 2 tpar: 0.604317 seepUp: 0.478731 eficiencia: 23.936527%
12,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.284238 numprocesos: 2 tpar: 0.625585 seepUp: 0.454356 eficiencia: 22.717776%
13,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.260090 numprocesos: 2 tpar: 0.614228 seepUp: 0.423442 eficiencia: 21.172105%
14,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.273862 numprocesos: 2 tpar: 0.630200 seepUp: 0.434564 eficiencia: 21.728182%
15,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.283623 numprocesos: 2 tpar: 0.613843 seepUp: 0.462045 eficiencia: 23.102243%
16,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.283041 numprocesos: 2 tpar: 0.633722 seepUp: 0.446633 eficiencia: 22.331638%
17,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.275754 numprocesos: 2 tpar: 0.634027 seepUp: 0.434925 eficiencia: 21.746235%
18,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.282075 numprocesos: 2 tpar: 0.619519 seepUp: 0.455313 eficiencia: 22.765646%
19,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.284197 numprocesos: 2 tpar: 0.641513 seepUp: 0.443011 eficiencia: 22.150525%
20,20000,2,tamaño: numbuscado 10 numVeces  23500000 porcentajeDeNumVeces (1.18%) tsec 0.258885 numprocesos: 2 tpar: 0.631152 seepUp: 0.410179 eficiencia: 20.508927%
